iter	Passed	Remaining
0	0	60
1	1	59
2	1	57
3	2	54
4	2	54
5	3	53
6	4	53
7	4	52
8	5	50
9	5	50
10	6	50
11	6	49
12	7	48
13	7	47
14	8	46
15	8	46
16	9	45
17	9	45
18	10	44
19	11	44
20	11	43
21	12	42
22	12	41
23	13	41
24	13	40
25	14	40
26	14	39
27	15	38
28	15	38
29	16	37
30	16	36
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	19	33
37	20	33
38	20	32
39	21	31
40	21	31
41	22	30
42	22	30
43	23	29
44	23	28
45	24	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	34	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	11
77	40	11
78	41	10
79	41	10
80	42	9
81	42	9
82	43	8
83	43	8
84	44	7
85	45	7
86	45	6
87	46	6
88	46	5
89	47	5
90	47	4
91	48	4
92	48	3
93	49	3
94	50	2
95	50	2
96	51	1
97	51	1
98	52	0
99	52	0
