iter	Passed	Remaining
0	109	109205
1	110	55002
2	111	36896
3	111	27827
4	112	22364
5	112	18718
6	113	16127
7	114	14179
8	116	12785
9	125	12427
10	133	12023
11	134	11073
12	135	10272
13	136	9584
14	138	9108
15	152	9384
16	156	9023
17	156	8555
18	157	8135
19	158	7776
20	159	7438
21	160	7124
22	161	6839
23	161	6575
24	162	6334
25	163	6114
26	164	5911
27	164	5719
28	165	5552
29	166	5388
30	167	5239
31	168	5094
32	169	4957
33	169	4825
34	170	4704
35	171	4587
36	172	4480
37	173	4386
38	174	4290
39	174	4197
40	175	4108
41	176	4025
42	177	3946
43	178	3868
44	178	3794
45	179	3721
46	180	3656
47	181	3592
48	182	3533
49	182	3473
50	183	3415
51	184	3359
52	184	3304
53	185	3253
54	186	3204
55	187	3156
56	188	3111
57	188	3066
58	189	3023
59	190	2981
60	191	2941
61	191	2901
62	192	2862
63	193	2827
64	194	2791
65	194	2757
66	195	2725
67	196	2695
68	197	2664
69	198	2633
70	198	2602
71	199	2573
72	200	2546
73	201	2518
74	201	2491
75	202	2465
76	203	2440
77	204	2415
78	205	2390
79	205	2365
80	206	2339
81	206	2315
82	207	2289
83	207	2265
84	208	2241
85	208	2219
86	209	2198
87	210	2178
88	211	2161
89	211	2143
90	216	2162
91	225	2222
92	230	2248
93	231	2235
94	233	2221
95	234	2212
96	236	2198
97	237	2185
98	238	2172
99	239	2159
100	241	2149
101	242	2138
102	244	2127
103	245	2115
104	246	2103
105	248	2092
106	249	2085
107	251	2075
108	252	2063
109	253	2052
110	254	2041
111	256	2031
112	257	2023
113	258	2012
114	260	2004
115	261	1994
116	262	1982
117	264	1973
118	265	1966
119	266	1957
120	268	1948
121	269	1936
122	270	1928
123	271	1921
124	273	1914
125	274	1906
126	275	1896
127	277	1888
128	278	1879
129	282	1892
130	283	1882
131	284	1871
132	285	1860
133	286	1850
134	287	1841
135	288	1832
136	289	1822
137	290	1812
138	290	1801
139	291	1790
140	292	1780
141	292	1768
142	293	1758
143	294	1749
144	295	1741
145	296	1732
146	296	1722
147	297	1713
148	298	1704
149	299	1696
150	299	1686
151	300	1677
152	301	1667
153	302	1659
154	304	1657
155	314	1698
156	321	1723
157	322	1720
158	324	1715
159	326	1712
160	327	1706
161	328	1701
162	330	1696
163	331	1691
164	333	1687
165	337	1696
166	338	1690
167	342	1698
168	344	1694
169	347	1695
170	350	1697
171	351	1693
172	353	1688
173	354	1684
174	356	1682
175	358	1679
176	360	1675
177	361	1670
178	363	1668
179	365	1663
180	366	1658
181	367	1652
182	369	1648
183	370	1643
184	371	1637
185	372	1630
186	373	1624
187	374	1617
188	375	1611
189	376	1606
190	378	1601
191	379	1595
192	380	1589
193	381	1583
194	381	1576
195	382	1569
196	383	1561
197	383	1554
198	384	1547
199	385	1541
200	386	1535
201	388	1535
202	394	1549
203	401	1567
204	404	1569
205	405	1563
206	406	1557
207	407	1551
208	408	1546
209	409	1541
210	410	1535
211	411	1530
212	412	1524
213	413	1518
214	414	1513
215	415	1507
216	416	1502
217	417	1497
218	418	1491
219	419	1485
220	419	1480
221	420	1474
222	421	1468
223	422	1462
224	423	1457
225	424	1452
226	424	1447
227	425	1442
228	426	1436
229	427	1430
230	428	1425
231	429	1420
232	429	1415
233	430	1410
234	431	1405
235	432	1400
236	433	1395
237	434	1390
238	435	1385
239	436	1380
240	436	1376
241	437	1371
242	438	1366
243	439	1362
244	440	1357
245	441	1352
246	442	1347
247	443	1343
248	444	1339
249	445	1335
250	446	1331
251	447	1327
252	448	1323
253	449	1320
254	450	1315
255	451	1311
256	452	1307
257	452	1302
258	453	1298
259	454	1294
260	462	1309
261	471	1327
262	473	1325
263	474	1324
264	476	1321
265	477	1318
266	479	1315
267	480	1312
268	482	1309
269	483	1306
270	484	1303
271	486	1301
272	487	1298
273	488	1295
274	490	1292
275	491	1289
276	493	1287
277	494	1284
278	495	1281
279	497	1278
280	498	1275
281	500	1273
282	501	1270
283	502	1267
284	503	1263
285	504	1260
286	506	1258
287	508	1256
288	509	1253
289	510	1250
290	512	1247
291	513	1244
292	514	1242
293	516	1239
294	517	1236
295	519	1234
296	519	1230
297	520	1227
298	522	1223
299	522	1220
300	523	1216
301	524	1212
302	525	1208
303	526	1204
304	527	1201
305	528	1197
306	529	1194
307	529	1190
308	530	1186
309	531	1182
310	532	1178
311	532	1174
312	533	1171
313	534	1167
314	535	1164
315	536	1160
316	537	1157
317	538	1154
318	539	1151
319	540	1147
320	540	1144
321	541	1140
322	542	1137
323	544	1135
324	545	1132
325	546	1129
326	547	1126
327	548	1122
328	549	1119
329	549	1116
330	550	1113
331	551	1110
332	553	1107
333	553	1104
334	554	1101
335	555	1098
336	556	1095
337	557	1092
338	558	1089
339	559	1086
340	560	1083
341	561	1080
342	562	1078
343	563	1075
344	564	1072
345	565	1069
346	566	1066
347	567	1064
348	568	1061
349	569	1058
350	570	1055
351	571	1052
352	572	1049
353	573	1047
354	574	1044
355	575	1041
356	576	1038
357	577	1035
